,Data,Residuo,Quantidade,Tecnologia,Unnamed: 4,Unnamed: 5,ano,mes
279,2019-03-06,180111(*),0.18,Aterro,,,2019,3
280,2019-03-06,180401(*),0.0,Aterro,,,2019,3
281,2019-03-06,180111(*),0.29,Aterro,,,2019,3
282,2019-03-07,180401(*),0.0,Aterro,,,2019,3
283,2019-03-07,180111(*),0.26,Aterro,,,2019,3
284,2019-03-07,180401(*),0.0,Aterro,,,2019,3
285,2019-03-07,180111(*),0.21,Aterro,,,2019,3
286,2019-03-11,180401(*),0.0,Aterro,,,2019,3
287,2019-03-11,180111(*),0.23,Aterro,,,2019,3
288,2019-03-12,180401(*),0.0,Aterro,,,2019,3
289,2019-03-12,180111(*),0.24,Aterro,,,2019,3
290,2019-03-13,180401(*),0.0,Aterro,,,2019,3
291,2019-03-13,180111(*),0.17,Aterro,,,2019,3
292,2019-03-14,180401(*),0.0,Aterro,,,2019,3
293,2019-03-14,180111(*),0.2,Aterro,,,2019,3
294,2019-03-14,180401(*),0.0,Aterro,,,2019,3
295,2019-03-14,180111(*),0.21,Aterro,,,2019,3
296,2019-03-15,180401(*),0.0,Aterro,,,2019,3
297,2019-03-15,180111(*),0.18,Aterro,,,2019,3
298,2019-03-18,180401(*),0.0,Aterro,,,2019,3
299,2019-03-18,180111(*),0.21,Aterro,,,2019,3
300,2019-03-19,180401(*),0.0,Aterro,,,2019,3
301,2019-03-19,180111(*),0.28,Aterro,,,2019,3
302,2019-03-19,180201(*),0.01,Incineração,,,2019,3
303,2019-03-20,180401(*),0.0,Aterro,,,2019,3
304,2019-03-20,180111(*),0.22,Aterro,,,2019,3
305,2019-03-21,180401(*),0.0,Aterro,,,2019,3
306,2019-03-21,180111(*),0.2,Aterro,,,2019,3
307,2019-03-21,180401(*),0.0,Aterro,,,2019,3
308,2019-03-21,180111(*),0.19,Aterro,,,2019,3
309,2019-03-21,180401(*),0.0,Aterro,,,2019,3
310,2019-03-21,180111(*),0.21,Aterro,,,2019,3
311,2019-03-25,180401(*),0.0,Aterro,,,2019,3
312,2019-03-25,180111(*),0.2,Aterro,,,2019,3
313,2019-03-26,180401(*),0.0,Aterro,,,2019,3
314,2019-03-26,180111(*),0.29,Aterro,,,2019,3
315,2019-03-27,180401(*),0.0,Aterro,,,2019,3
316,2019-03-27,180111(*),0.19,Aterro,,,2019,3
317,2019-03-27,180401(*),0.0,Aterro,,,2019,3
318,2019-03-27,180111(*),0.24,Aterro,,,2019,3
319,2019-03-28,180401(*),0.0,Aterro,,,2019,3
320,2019-03-28,180111(*),0.24,Aterro,,,2019,3
321,2019-03-28,180401(*),0.0,Aterro,,,2019,3
322,2019-03-28,180111(*),0.21,Aterro,,,2019,3
323,2019-04-01,180401(*),0.0,Aterro,,,2019,4
324,2019-04-01,180111(*),0.21,Aterro,,,2019,4
325,2019-04-02,180401(*),0.0,Aterro,,,2019,4
326,2019-04-02,180111(*),0.16,Aterro,,,2019,4
327,2019-04-03,180401(*),0.0,Aterro,,,2019,4
328,2019-04-03,180111(*),0.2,Aterro,,,2019,4
329,2019-04-04,180401(*),0.0,Aterro,,,2019,4
330,2019-04-04,180111(*),0.24,Aterro,,,2019,4
331,2019-04-04,180401(*),0.0,Aterro,,,2019,4
332,2019-04-04,180111(*),0.2,Aterro,,,2019,4
333,2019-04-05,180401(*),0.0,Aterro,,,2019,4
334,2019-04-05,180111(*),0.18,Aterro,,,2019,4
335,2019-04-08,180401(*),0.0,Aterro,,,2019,4
336,2019-04-08,180111(*),0.22,Aterro,,,2019,4
337,2019-04-09,180401(*),0.0,Aterro,,,2019,4
338,2019-04-09,180111(*),0.23,Aterro,,,2019,4
339,2019-04-10,180401(*),0.0,Aterro,,,2019,4
340,2019-04-10,180111(*),0.19,Aterro,,,2019,4
341,2019-04-10,180401(*),0.0,Aterro,,,2019,4
342,2019-04-10,180111(*),0.22,Aterro,,,2019,4
343,2019-04-11,180401(*),0.0,Aterro,,,2019,4
344,2019-04-11,180111(*),0.22,Aterro,,,2019,4
345,2019-04-11,180401(*),0.0,Aterro,,,2019,4
346,2019-04-11,180111(*),0.21,Aterro,,,2019,4
347,2019-04-11,180401(*),0.0,Aterro,,,2019,4
348,2019-04-11,180111(*),0.3,Aterro,,,2019,4
349,2019-04-12,180401(*),0.0,Aterro,,,2019,4
350,2019-04-12,180111(*),0.23,Aterro,,,2019,4
351,2019-04-15,180401(*),0.0,Aterro,,,2019,4
352,2019-04-15,180111(*),0.28,Aterro,,,2019,4
353,2019-04-16,180401(*),0.0,Aterro,,,2019,4
354,2019-04-16,180111(*),0.4,Aterro,,,2019,4
355,2019-04-17,180401(*),0.0,Aterro,,,2019,4
356,2019-04-17,180111(*),0.23,Aterro,,,2019,4
357,2019-04-17,180401(*),0.0,Aterro,,,2019,4
358,2019-04-17,180111(*),0.26,Aterro,,,2019,4
359,2019-04-17,180401(*),0.0,Aterro,,,2019,4
360,2019-04-17,180111(*),0.25,Aterro,,,2019,4
361,2019-04-22,180401(*),0.0,Aterro,,,2019,4
362,2019-04-22,180111(*),0.24,Aterro,,,2019,4
363,2019-04-22,180401(*),0.0,Aterro,,,2019,4
364,2019-04-22,180111(*),0.22,Aterro,,,2019,4
365,2019-04-23,180401(*),0.0,Aterro,,,2019,4
366,2019-04-23,180111(*),0.24,Aterro,,,2019,4
367,2019-04-23,180401(*),0.0,Aterro,,,2019,4
368,2019-04-23,180111(*),0.22,Aterro,,,2019,4
369,2019-04-25,180401(*),0.0,Aterro,,,2019,4
370,2019-04-25,180111(*),0.24,Aterro,,,2019,4
371,2019-04-29,180401(*),0.0,Aterro,,,2019,4
372,2019-04-29,180111(*),0.34,Aterro,,,2019,4
373,2019-04-30,180401(*),0.0,Aterro,,,2019,4
374,2019-04-30,180111(*),0.25,Aterro,,,2019,4
375,2019-04-30,180401(*),0.0,Aterro,,,2019,4
376,2019-04-30,180111(*),0.24,Aterro,,,2019,4
377,2019-04-30,180401(*),0.0,Aterro,,,2019,4
378,2019-04-30,180111(*),0.15,Aterro,,,2019,4
379,2019-05-06,180401(*),0.0,Aterro,,,2019,5
380,2019-05-06,180111(*),0.28,Aterro,,,2019,5
381,2019-05-07,180205(*),0.03,Incineração,,,2019,5
382,2019-05-07,180401(*),0.0,Aterro,,,2019,5
383,2019-05-07,180111(*),0.25,Aterro,,,2019,5
384,2019-05-08,180401(*),0.0,Aterro,,,2019,5
385,2019-05-08,180111(*),0.26,Aterro,,,2019,5
386,2019-05-09,180401(*),0.0,Aterro,,,2019,5
387,2019-05-09,180111(*),0.22,Aterro,,,2019,5
388,2019-05-10,180401(*),0.0,Aterro,,,2019,5
389,2019-05-10,180111(*),0.24,Aterro,,,2019,5
390,2019-05-10,180401(*),0.0,Aterro,,,2019,5
391,2019-05-10,180111(*),0.25,Aterro,,,2019,5
392,2019-05-13,180401(*),0.0,Aterro,,,2019,5
393,2019-05-13,180111(*),0.23,Aterro,,,2019,5
394,2019-05-14,180401(*),0.0,Aterro,,,2019,5
395,2019-05-14,180111(*),0.22,Aterro,,,2019,5
396,2019-05-15,180401(*),0.0,Aterro,,,2019,5
397,2019-05-15,180111(*),0.22,Aterro,,,2019,5
398,2019-05-15,180401(*),0.0,Aterro,,,2019,5
399,2019-05-15,180111(*),0.21,Aterro,,,2019,5
400,2019-05-16,180401(*),0.0,Aterro,,,2019,5
401,2019-05-16,180111(*),0.25,Aterro,,,2019,5
402,2019-05-16,180401(*),0.0,Aterro,,,2019,5
403,2019-05-16,180111(*),0.25,Aterro,,,2019,5
404,2019-05-17,180401(*),0.0,Aterro,,,2019,5
405,2019-05-17,180111(*),0.24,Aterro,,,2019,5
406,2019-05-17,180401(*),0.0,Aterro,,,2019,5
407,2019-05-17,180111(*),0.26,Aterro,,,2019,5
408,2019-05-20,180401(*),0.0,Aterro,,,2019,5
409,2019-05-20,180111(*),0.26,Aterro,,,2019,5
410,2019-05-21,180401(*),0.0,Aterro,,,2019,5
411,2019-05-21,180111(*),0.19,Aterro,,,2019,5
412,2019-05-22,180401(*),0.0,Aterro,,,2019,5
413,2019-05-22,180111(*),0.24,Aterro,,,2019,5
414,2019-05-24,180401(*),0.0,Aterro,,,2019,5
415,2019-05-24,180111(*),0.17,Aterro,,,2019,5
416,2019-05-27,180401(*),0.0,Aterro,,,2019,5
417,2019-05-27,180111(*),0.17,Aterro,,,2019,5
418,2019-05-28,180401(*),0.0,Aterro,,,2019,5
419,2019-05-28,180111(*),0.27,Aterro,,,2019,5
420,2019-05-29,180401(*),0.0,Aterro,,,2019,5
421,2019-05-29,180111(*),0.2,Aterro,,,2019,5
422,2019-05-30,180401(*),0.0,Aterro,,,2019,5
423,2019-05-30,180111(*),0.19,Aterro,,,2019,5
424,2019-05-31,180401(*),0.0,Aterro,,,2019,5
425,2019-05-31,180111(*),0.23,Aterro,,,2019,5
426,2019-05-31,180401(*),0.0,Aterro,,,2019,5
427,2019-05-31,180111(*),0.19,Aterro,,,2019,5
428,2019-06-03,180401(*),0.0,Aterro,,,2019,6
429,2019-06-03,180111(*),0.22,Aterro,,,2019,6
430,2019-06-04,180401(*),0.0,Aterro,,,2019,6
431,2019-06-04,180111(*),0.23,Aterro,,,2019,6
432,2019-06-05,180401(*),0.0,Aterro,,,2019,6
433,2019-06-05,180111(*),0.22,Aterro,,,2019,6
434,2019-06-06,180401(*),0.0,Aterro,,,2019,6
435,2019-06-06,180111(*),0.2,Aterro,,,2019,6
436,2019-06-07,180401(*),0.0,Aterro,,,2019,6
437,2019-06-07,180111(*),0.23,Aterro,,,2019,6
438,2019-06-07,180401(*),0.0,Aterro,,,2019,6
439,2019-06-07,180111(*),0.17,Aterro,,,2019,6
