Data;Residuo;Quantidade;Tecnologia;;
2019-07-17;180401(*);0.00;Aterro;;
2019-07-17;180111(*);0.21;Aterro;;
2019-07-18;180401(*);0.00;Aterro;;
2019-07-18;180111(*);0.24;Aterro;;
2019-07-19;180401(*);0.00;Aterro;;
2019-07-19;180111(*);0.25;Aterro;;
2019-07-19;180401(*);0.00;Aterro;;
2019-07-19;180111(*);0.26;Aterro;;
2019-07-22;180401(*);0.00;Aterro;;
2019-07-22;180111(*);0.24;Aterro;;
2019-07-23;180205(*);0.02;Incineração;;
2019-07-23;180401(*);0.00;Aterro;;
2019-07-23;180111(*);0.23;Aterro;;
2019-07-24;180401(*);0.00;Aterro;;
2019-07-24;180111(*);0.22;Aterro;;
2019-07-25;180401(*);0.00;Aterro;;
2019-07-25;180111(*);0.17;Aterro;;
2019-07-26;180401(*);0.00;Aterro;;
2019-07-26;180111(*);0.24;Aterro;;
2019-07-26;180401(*);0.00;Aterro;;
2019-07-26;180111(*);0.21;Aterro;;
2019-07-29;180401(*);0.00;Aterro;;
2019-07-29;180111(*);0.21;Aterro;;
2019-07-30;180205(*);0.02;Incineração;;
2019-07-30;180401(*);0.00;Aterro;;
2019-07-30;180111(*);0.27;Aterro;;
2019-07-31;180401(*);0.00;Aterro;;
2019-07-31;180111(*);0.18;Aterro;;
2019-08-01;180401(*);0.00;Aterro;;
2019-08-01;180111(*);0.21;Aterro;;
2019-08-02;180401(*);0.00;Aterro;;
2019-08-02;180111(*);0.19;Aterro;;
2019-08-02;180401(*);0.00;Aterro;;
2019-08-02;180111(*);0.18;Aterro;;
2019-08-05;180401(*);0.00;Aterro;;
2019-08-05;180111(*);0.27;Aterro;;
2019-08-06;180205(*);0.01;Incineração;;
2019-08-06;180401(*);0.00;Aterro;;
2019-08-06;180111(*);0.22;Aterro;;
2019-08-07;180401(*);0.00;Aterro;;
2019-08-07;180111(*);0.24;Aterro;;
2019-08-08;180401(*);0.00;Aterro;;
2019-08-08;180111(*);0.24;Aterro;;
2019-08-09;180401(*);0.00;Aterro;;
2019-08-09;180111(*);0.27;Aterro;;
2019-08-09;180401(*);0.00;Aterro;;
2019-08-09;180111(*);0.26;Aterro;;
2019-08-12;180401(*);0.00;Aterro;;
2019-08-12;180111(*);0.28;Aterro;;
2019-08-13;180205(*);0.01;Incineração;;
2019-08-13;180401(*);0.00;Aterro;;
2019-08-13;180111(*);0.26;Aterro;;
2019-08-14;180401(*);0.00;Aterro;;
2019-08-14;180111(*);0.22;Aterro;;
2019-08-15;180401(*);0.00;Aterro;;
2019-08-15;180111(*);0.30;Aterro;;
2019-08-16;180401(*);0.00;Aterro;;
2019-08-16;180111(*);0.31;Aterro;;
2019-08-16;180401(*);0.00;Aterro;;
2019-08-16;180111(*);0.16;Aterro;;
2019-08-19;180401(*);0.00;Aterro;;
2019-08-19;180111(*);0.27;Aterro;;
2019-08-20;180205(*);0.01;Incineração;;
2019-08-20;180401(*);0.00;Aterro;;
2019-08-20;180111(*);0.28;Aterro;;
2019-08-21;180401(*);0.00;Aterro;;
2019-08-21;180111(*);0.22;Aterro;;
2019-08-22;180401(*);0.00;Aterro;;
2019-08-22;180111(*);0.25;Aterro;;
2019-08-23;180401(*);0.00;Aterro;;
2019-08-23;180111(*);0.27;Aterro;;
2019-08-23;180401(*);0.00;Aterro;;
2019-08-23;180111(*);0.20;Aterro;;
2019-08-26;180401(*);0.00;Aterro;;
2019-08-26;180111(*);0.25;Aterro;;
2019-08-27;180401(*);0.00;Aterro;;
2019-08-27;180111(*);0.25;Aterro;;
2019-08-28;180401(*);0.00;Aterro;;
2019-08-28;180111(*);0.25;Aterro;;
2019-08-29;180401(*);0.00;Aterro;;
2019-08-29;180111(*);0.29;Aterro;;
2019-08-29;180401(*);0.02;Aterro;;
2019-08-29;180111(*);0.24;Aterro;;
2019-08-30;180401(*);0.00;Aterro;;
2019-08-30;180111(*);0.20;Aterro;;
2019-09-02;180401(*);0.00;Aterro;;
2019-09-02;180111(*);0.25;Aterro;;
2019-09-03;180205(*);0.03;Incineração;;
2019-09-03;180401(*);0.00;Aterro;;
2019-09-03;180111(*);0.28;Aterro;;
2019-09-04;180401(*);0.00;Aterro;;
2019-09-04;180111(*);0.27;Aterro;;
2019-09-05;180401(*);0.00;Aterro;;
2019-09-05;180111(*);0.24;Aterro;;
2019-09-06;180401(*);0.00;Aterro;;
2019-09-06;180111(*);0.41;Aterro;;
2019-09-09;180401(*);0.00;Aterro;;
2019-09-09;180111(*);0.27;Aterro;;
2019-09-09;180401(*);0.00;Aterro;;
